GEOID,total_amenities,manual_wheelchair_count,unconstrained_pedestrian_count,wheelchair_bus_stop_count,pedestrian_bus_stop_count,wheelchair_supermarket_count,pedestrian_supermarket_count,wheelchair_school_count,pedestrian_school_count,wheelchair_hospital_count,pedestrian_hospital_count,wheelchair_college_count,pedestrian_college_count,wheelchair_middle_or_high_school_count,pedestrian_middle_or_high_school_count,wheelchair_elementary_school_count,pedestrian_elementary_school_count,wheelchair_other_school_count,pedestrian_other_school_count,wheelchair_grocery_store_count,pedestrian_grocery_store_count,wheelchair_station_count,pedestrian_station_count,wheelchair_doctors_count,pedestrian_doctors_count,wheelchair_clinic_count,pedestrian_clinic_count,wheelchair_healthcare_count,pedestrian_healthcare_count,COUNTYFP,wa_demo_census_tract_NAME,TOTAL_POPU
53011041600,14.0,10.0,10.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 416; Clark County; Washington,3711.0
53011041700,8.0,8.0,8.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 417; Clark County; Washington,4145.0
53011041800,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 418; Clark County; Washington,4221.0
53011041900,19.0,17.0,17.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,Census Tract 419; Clark County; Washington,2098.0
53011042000,11.0,10.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 420; Clark County; Washington,1612.0
53011042100,7.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,Census Tract 421; Clark County; Washington,3187.0
53011042300,7.0,6.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 423; Clark County; Washington,3303.0
53011042400,13.0,12.0,12.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,11.0,Census Tract 424; Clark County; Washington,1924.0
53011042500,20.0,19.0,19.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,Census Tract 425; Clark County; Washington,1535.0
53011042600,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
